"","name","value","time"
"1","guardian","UK government spokesperson resigns after No 10 Christmas party video",2021-12-08 20:01:21
"2","times","Jacking it in",2021-12-08 20:01:21
"3","dailymail","Wednesday, Dec 8th 2021",2021-12-08 20:01:21
"4","independent","There is no evidence whatsoever that the PM <U+2018>shares your anger<U+2019>",2021-12-08 20:01:21
"5","mirror","Covid Plan B activated in England with vaccine passports and people told to work from home - as under-fire Boris Johnson grilled on Christmas party",2021-12-08 20:01:21
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-08 20:01:21
"7","nytimes","Pfizer-BioNTech Says Booster Offers Significant Protection Against Omicron",2021-12-08 20:01:21
"8","wsj","Pfizer Says Booster Neutralized Omicron Strain in Testing",2021-12-08 20:01:21
"9","usatoday","26 states plan to ban abortion in some form. Here's who is most at risk.",2021-12-08 20:01:21
"10","washingtonpost","Biden to sign order to make government carbon neutral by 2050",2021-12-08 20:01:21
"11","latimes","A bittersweet escape for Afghans from a music school gone silent",2021-12-08 20:01:21
"12","tampabay","Over 500 graves might be on Clearwater company<U+2019>s land. Is city responsible? ",2021-12-08 20:01:21
"13","heraldsun","Win your share of $10,000",2021-12-08 20:01:21
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-08 20:01:21
"15","financialreview","Afterpay fees may be passed on to shoppers",2021-12-08 20:01:21
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-08 20:01:21
"17","westaustralian","The West Australianexclusive<U+2018>Predator<U+2019> go-kart coach allowed to stay in sport",2021-12-08 20:01:21
"18","advertiser","New weapon in our arsenal",2021-12-08 20:01:21
"19","globeandmail"," Canada joins allies in diplomatic boycott of Beijing Winter Olympics ",2021-12-08 20:01:21
"20","thestar","Justin Trudeau announces diplomatic boycott of Beijing Olympics",2021-12-08 20:01:21
"21","nationalpost","David Staples: Other Canadians don't much like Alberta? That's good",2021-12-08 20:01:21
"22","torontosun","Canada to join allies in diplomatic boycott of Winter Games",2021-12-08 20:01:21
"23","vancouversun","B.C. reaches forfeiture agreement in alleged $220-million-a-year money laundering scheme",2021-12-08 20:01:21
"24","montrealgazette","COVID-19 live updates: Quebec has now identified five Omicron variant cases",2021-12-08 20:01:21
"25","nzherald","Live: 'Fraudulent' - anti-vax GP caught issuing fake exemption certificates",2021-12-08 20:01:21
"26","waikato","
    
        Rosey ending to gardens drama
    
",2021-12-08 20:01:21
"27","businessreview","
    
      Simon Bridges<U+2019> next best thing
    
  ",2021-12-08 20:01:21
"28","gisborneherald","Eastland Port's electric water truck a New Zealand first",2021-12-08 20:01:21
"29","dominionpost","
    
        Suspicious house fire in K<U+0101>piti Coast town
    
",2021-12-08 20:01:21
"30","thepress","
    
        Buyers snapping up sections as development boom hits Mid-Canterbury town
    
",2021-12-08 20:01:21
"31","guardian","Covid: Boris Johnson announces tighter restrictions for England",2021-12-08 20:01:21
"32","times","World at Five",2021-12-08 20:01:21
"33","dailymail","-1<U+00B0>C",2021-12-08 20:01:21
"34","independent","I gave birth alone while Downing Street partied",2021-12-08 20:01:21
"35","mirror","BREAKING: Boris Johnson says football fans must now show vaccine passports to attend matches",2021-12-08 20:01:21
"36","telegraph","
SIGN UP: FILM NEWSLETTER
",2021-12-08 20:01:21
"37","nytimes","Schools Are Going Online on Fridays. Parents Are Furious.",2021-12-08 20:01:21
"38","wsj","Beijing Reins In China<U+2019>s Central Bank",2021-12-08 20:01:21
"39","usatoday","Scott Peterson faces new life sentence in wife's murder after years on death row",2021-12-08 20:01:21
"40","washingtonpost","Biden says ground troops <U+2018>not on the table<U+2019> but Putin would face <U+2018>severe<U+2019> sanctions for Ukraine invasion",2021-12-08 20:01:21
"41","latimes","<U+2018>Brazen assault in the middle of the day<U+2019> leaves a boy dead, a neighborhood shaken",2021-12-08 20:01:21
"42","tampabay","I-75 to close in southern Hillsborough for road work",2021-12-08 20:01:21
"43","heraldsun","Money news to your inbox",2021-12-08 20:01:21
"44","dailytelegraph","Our say: West<U+2019>s stadium of dreams",2021-12-08 20:01:21
"45","financialreview","Payments reform explained: Protecting consumers, and banks too",2021-12-08 20:01:21
"46","couriermail","Tragic life before fatal shooting",2021-12-08 20:01:21
"47","westaustralian","The West AustralianexclusiveThe exclusive Perth council lagging behind in jab rates ",2021-12-08 20:01:21
"48","advertiser","Brightest stars of the night",2021-12-08 20:01:21
"49","globeandmail"," Why Canada and the EU should join the diplomatic boycott of the Beijing Winter Games ",2021-12-08 20:01:21
"50","thestar","Damian Warner wins Lou Marsh Trophy as Canada<U+2019>s top athlete over a very strong field",2021-12-08 20:01:21
"51","nationalpost","Furor: Finland<U+2019>s 36-year-old PM goes clubbing despite exposure to COVID case",2021-12-08 20:01:21
"52","torontosun","HUNTER: Ghislaine Maxwell and Jussie Smollett trials share hubris",2021-12-08 20:01:21
"53","vancouversun","Tsawwassen teen found dead, girl has been missing for four days",2021-12-08 20:01:21
"54","montrealgazette","Legault insists another inquiry into CHSLD tragedy is not necessary",2021-12-08 20:01:21
"55","nzherald","Live: Third of Kiwi parents won't give kids Covid jab - a month from rollout",2021-12-08 20:01:21
