"","name","value","time"
"1","guardian","Boris Johnson apologises for Downing Street video but insists no Christmas party was held",2021-12-08 15:01:14
"2","times","Landscapers",2021-12-08 15:01:14
"3","dailymail","Wednesday, Dec 8th 2021",2021-12-08 15:01:14
"4","independent","Christmas party loophole or not, Boris Johnson is on his way out",2021-12-08 15:01:14
"5","mirror","Boris Johnson finally apologises over Downing Street party after video leaks - but throws staff under the bus",2021-12-08 15:01:14
"6","telegraph","
CHRISTMAS CHARITY APPEAL
",2021-12-08 15:01:14
"7","nytimes","Pfizer-BioNTech Says Booster Offers Significant Protection Against Omicron",2021-12-08 15:01:14
"8","wsj","Pfizer Says Booster Neutralized Omicron but Variant May Elude Two Doses",2021-12-08 15:01:14
"9","usatoday","Pre-teen suicide is rising. The pandemic is making the problem worse.",2021-12-08 15:01:14
"10","washingtonpost","7 things to know today: Early omicron findings; teens<U+2019> mental health crisis; debt ceiling deal; dying manatees; and more",2021-12-08 15:01:14
"11","latimes","A bittersweet escape for Afghans from a music school gone silent",2021-12-08 15:01:14
"12","tampabay","St. Pete mayor-elect Ken Welch seeks public input before taking office",2021-12-08 15:01:14
"13","heraldsun","Get our free Ashes newsletter",2021-12-08 15:01:14
"14","dailytelegraph","Podcast: Today<U+2019>s Tele headlines",2021-12-08 15:01:14
"15","financialreview","Afterpay fees may be passed on to shoppers",2021-12-08 15:01:14
"16","couriermail","Australia<U+2019>s vaccination progress",2021-12-08 15:01:14
"17","westaustralian","The West Australianexclusive<U+2018>Predator<U+2019> go-kart coach allowed to stay in sport",2021-12-08 15:01:14
"18","advertiser","New weapon in our arsenal",2021-12-08 15:01:14
"19","globeandmail"," Activists in Ukraine scour the internet to track Putin<U+2019>s military manoeuvres  Subscriber content  ",2021-12-08 15:01:14
"20","thestar","Own a Toyota or Honda? New insurance data shows soaring theft rates",2021-12-08 15:01:14
"21","nationalpost","FIRST READING: Activists keep ignoring Indigenous pleas to go away",2021-12-08 15:01:14
"22","torontosun","BioNTech, Pfizer say vaccine neutralizes Omicron with three shots",2021-12-08 15:01:14
"23","vancouversun","'Just awful': A family returns to the devastated Sumas Prairie",2021-12-08 15:01:14
"24","montrealgazette","Opposition parties team up to push for full inquiry on CHSLDs",2021-12-08 15:01:14
"25","nzherald","GP caught giving medical certificates as vaccine exemptions",2021-12-08 15:01:14
"26","waikato","
    
        One dead after car goes into water in Tauranga
    
",2021-12-08 15:01:14
"27","businessreview","
    
      Bogoievski backs latest NexDo capital raise
    
  ",2021-12-08 15:01:14
"28","gisborneherald","Eastland Port's electric water truck a New Zealand first",2021-12-08 15:01:14
"29","dominionpost","
    
        Covid-19: PM defends decision to keep Auckland border in place
    
",2021-12-08 15:01:14
"30","thepress","
    
        Replacing Ashburton bridge or building new one 'critical' to dealing with extreme weather
    
",2021-12-08 15:01:14
"31","guardian","Russia expects urgent talks with US after Biden-Putin summit",2021-12-08 15:01:14
"32","times","Designated driver?",2021-12-08 15:01:14
"33","dailymail","0<U+00B0>C",2021-12-08 15:01:14
"34","independent","Johnson<U+2019>s political epitaph? One rule for us, another for all of you",2021-12-08 15:01:14
"35","mirror","Woman whose mum died alone of Covid on day of 'Tory Christmas party' calls on PM to resign",2021-12-08 15:01:14
"36","telegraph","
SIGN UP: FASHION NEWSLETTER
",2021-12-08 15:01:14
"37","nytimes","Schools Are Going Online on Fridays. Parents Are Furious.",2021-12-08 15:01:14
"38","wsj","Instagram Executive Faces Senate Hearing on Safety",2021-12-08 15:01:14
"39","usatoday","Where did the omicron variant come from? Scientists suggest it evolved in one person.",2021-12-08 15:01:14
"40","washingtonpost","House approves $768 billion defense bill, including review of Afghan war",2021-12-08 15:01:14
"41","latimes","<U+2018>Brazen assault in the middle of the day<U+2019> leaves a boy dead, a neighborhood shaken",2021-12-08 15:01:14
"42","tampabay","Pfizer says COVID booster offers protection against omicron",2021-12-08 15:01:14
"43","heraldsun","Listen now: Browny<U+2019>s Podcast",2021-12-08 15:01:14
"44","dailytelegraph","Our say: West<U+2019>s stadium of dreams",2021-12-08 15:01:14
"45","financialreview","Payments reform explained: Protecting consumers, and banks too",2021-12-08 15:01:14
"46","couriermail","Tragic life before fatal shooting",2021-12-08 15:01:14
"47","westaustralian","Toddler dies after circumcision gone wrong in Perth suburbs",2021-12-08 15:01:14
"48","advertiser","Brightest stars of the night",2021-12-08 15:01:14
"49","globeandmail"," Biden warns Putin of repercussions if Russia invades Ukraine  ",2021-12-08 15:01:14
"50","thestar","COVID-19 outbreaks in elementary schools hit record high. Why <U+2018>we need to pull out all the stops<U+2019> to protect in-person learning",2021-12-08 15:01:14
"51","nationalpost","Switzerland approves use of 3D-printed suicide pod that can be activated just by blinking",2021-12-08 15:01:14
"52","torontosun","Canada forecast to beat U.S. medal tally for second straight Winter Games",2021-12-08 15:01:14
"53","vancouversun","B.C. reaches forfeiture agreement in alleged $220-million-a-year money laundering scheme",2021-12-08 15:01:14
"54","montrealgazette","Four Montrealers follow quest to create ""ultimate boxer brief""",2021-12-08 15:01:14
"55","nzherald","Man arrested, firearm seized following incident in South Auckland",2021-12-08 15:01:14
