"","name","value"
"1","guardian","Scientists find ‘stealth’ version of Omicron that may be harder to track "
"2","times","Daniel Finkelstein"
"3","dailymail","Tuesday, Dec 7th 2021"
"4","independent","It’s raining cats and dogs – and Boris Johnson is getting soaked"
"5","mirror","Storm Barra batters Britain with 80mph gales and huge waves smashing the coast, thousands left without power and trees falling on homes"
"6","telegraph","
CHRISTMAS CHARITY APPEAL
"
"7","nytimes","Americans’ Pandemic-Era ‘Excess Savings’ Are Dwindling for Many"
"8","wsj","Stocks, Oil Gain on Omicron Optimism"
"9","usatoday","Video diplomacy: Biden to warn Putin against attacking Ukraine"
"10","washingtonpost","Biden’s summit on democracy includes nations that hardly seem to qualify"
"11","latimes","Column One: Lizard people, deadly orgies and JFK — How QAnon hijacked Hollywood to spread conspiracies"
"12","tampabay","Record numbers of Americans quit jobs. Here’s how Tampa Bay locals did it."
"13","startribune","Minnesota financial experts to offer budget forecast today"
"14","guardian","One of Saudi journalist's suspected killers held in Paris "
"15","times","Scandal!"
"16","dailymail","0°C"
"17","independent","The Westminster ‘war on drugs’ is a massive distraction"
"18","mirror","Prince Harry 'in danger of running out of allies as he continues to hurt his family'"
"19","telegraph","
LISTEN: BED OF LIES SERIES 2
"
"20","nytimes","The Stock Market’s Covid Pattern: Faster Recovery From Each Panic"
"21","wsj","Omicron Expected to Be Dominant in Parts of Europe Within Weeks"
"22","usatoday","Pearl Harbor vet's legacy still felt 80 years after the historical event"
"23","washingtonpost","French authorities detain suspect in 2018 killing of Post contributing columnist Jamal Khashoggi"
"24","latimes","New York City poised to let noncitizens vote in municipal elections"
"25","tampabay","Photo essay: Black gun owners around Tampa Bay share their stories "
"26","startribune","Armed robbers strike at U concert hall shortly before performance"
"27","guardian","Prepare a swift response to Russian invasion, Latvia tells west"
"28","times","Good joint guide"
"29","dailymail","Top Foreign Office mandarin tells shocked MPs he stayed on holiday for ELEVEN DAYS even AFTER Kabul fell as he tries to defend Afghan evacuation shambles after whistleblower revealed WFH civil servants refused to do overtime while allies were left to die"
"30","independent","Get the elderly back to work to tackle budget deficits and debt"
"31","mirror","This Morning fans speechless over Phillip Schofield's 'savage' question to Matt Hancock"
"32","telegraph","
WATCH: TONIGHT'S TV
"
"33","nytimes","Biden Speaks With Putin Amid Fears That Russia May Invade Ukraine"
"34","wsj","China Evergrande Heads Toward Default as It Misses Payment Deadline"
"35","usatoday","Alaska tragedy: Up to 15 soldiers died by suicide this year"
"36","washingtonpost","How Pearl Harbor forced the world’s first around-the-world commercial flight"
"37","latimes","Morrison: Before Pearl Harbor, L.A. was home to thriving Japanese communities. Here’s what they were like"
"38","tampabay","I-4 crash kills 2 women who were ejected from SUV"
"39","startribune","
                    
                                            
                "
"40","guardian","Whistleblower condemns UK Foreign Office over Kabul evacuation"
"41","times","Gifts for men"
"42","dailymail","'A*se, a*se, a*se': Durham student union demands professor RESIGNS over Rod Liddle talk - as video shows the educator's wife confronting woke students as they walked out"
"43","independent","Scots to work from home until January as Starmer tells Johnson to ‘be honest’ on No 10 party"
"44","mirror","BREAKING: Amazon down with mass internet outage for thousands due to AWS crashing"
"45","telegraph","






Live


Covid latest
Welby condemns red list as 'travel apartheid'

"
"46","nytimes","Early Omicron Reports Suggest the Variant Is Fast Moving but Less Severe"
"47","wsj","Samsung Changes Come as Growth in Chips and Smartphones Faces Challenges"
"48","usatoday","'Moon cube!' China's rover spots mysterious object on lunar surface"
"49","washingtonpost","U.S. coronavirus cases approach 50 million"
"50","latimes","Barabak: So you think Kamala Harris has it rough. Remember Dan Quayle?"
"51","tampabay","UF researchers felt pressure to destroy COVID-19 data, faculty report says"
"52","startribune","Minnesota's forests at risk as invasive jumping worms spread"
"53","guardian","Plastic use in farming threatens food safety – UN"
"54","times","Omicron is infecting 1,000 a day, data suggests"
"55","dailymail","Scotland's war on drugs goes WOKE as it seeks to BAN words such as addict, alcoholic and junkie under new 'stigma charter' to fight one of Europe's worst substance abuse problems "
"56","independent","Snow hits Scotland as Storm Barra threatens strong winds and floods"
"57","mirror","How Britain's biggest family the Radfords spend Christmas Day as they announce TV special"
"58","telegraph","

Revealed
Why the UK risks missing its Covid booster target

"
"59","nytimes","The Morning: four big questions about Omicron, answered."
"60","wsj","Elon Musk Comes Out Against Federal Electric-Vehicle Spending"
"61","usatoday","The most popular tech trends of 2021 – and what it may tell us about 2022"
"62","washingtonpost","Biden calls for sweeping new push to expose and punish financial corruption"
"63","latimes","Lazarus: Should you pay an extra fee just for being a Californian? Pizza Hut thinks so"
"64","tampabay","St. Petersburg man witnessed Pearl Harbor and 9/11"
"65","startribune","Brooklyn Center passes plan for alternative public safety programs"
"66","guardian","Dozens killed in fire at overcrowded prison"
"67","times","Foreign Office chief stayed on holiday for 11 days after Kabul fell"
"68","dailymail","UK's Covid cases spike again amid growing Omicron wave: Daily infections jump 15% in a week to 45,691 as Boris warns super-mutant variant IS 'more transmissible' with numbers doubling every two days"
"69","independent","France arrests suspected killer while trying to board plane in Paris"
"70","mirror","Nick Cannon's youngest child dies from brain tumour at just five months old"
"71","telegraph","

Europe’s biggest omicron outbreak ‘appears mild’, say Norway Covid experts

"
"72","nytimes","On the Banks of the Congo River, a 5-Star Hotel for Cobalt Fortune Hunters"
"73","wsj","Investors Are Using Robinhood, Other Platforms to Jump Into Options Trades, Worrying U.S. Regulators"
"74","usatoday","Justice Department again closes Emmett Till murder investigation"
"75","washingtonpost","British whistleblower says ‘chaotic’ Afghanistan evacuation ignored the pleas of thousands"
"76","latimes","Surgeon general warns of emerging youth mental health crisis"
"77","tampabay","Allegiant Air adding nonstop service to West Virginia from St. Pete-Clearwater "
"78","startribune","Man admits being drunk when he sped through Minneapolis intersection, fatally hit teen on skateboard"
"79","guardian","Mark Meadows stops cooperating with investigation "
"80","times","Western leaders plan reprisals if Russia invades Ukraine"
"81","dailymail","Tory MP backs death penalty for little Arthur's killers - as YouGov poll reveals more than HALF of UK public AGREE"
"82","independent","Sunak denies attending No 10 party as PM says ‘rules were followed’"
"83","mirror","BREAKING: Controlling man found guilty of murdering girlfriend by stabbing her 54 times"
"84","telegraph","

Why prosecutors are targeting the mystery of Ghislaine Maxwell’s extraordinary wealth

"
"85","nytimes","In Reversal, Meadows Refuses to Cooperate With Jan. 6 Inquiry"
"86","wsj","Biden, Russian President Putin Start Call3 min read"
"87","usatoday","First, blizzard warnings in Hawaii. Now 'catastrophic' flooding looms."
"88","washingtonpost","Inside CNN’s decision to fire Chris Cuomo"
"89","latimes","Facing record labor shortage, trucking firms battle for drivers"
"90","tampabay","Is it time to change the definition of ‘fully vaccinated?’"
"91","startribune","
                    Instagram launches tool urging teens to take a break    

          6:51am
      
                "
"92","guardian","Trump’s social media platform hits roadblocks as major political battle looms"
"93","times","Inside Epstein’s lair: massage tables, erotic art . . . and portraits of Ghislaine"
"94","dailymail","Mother, 41, admits killing her five-year-old daughter at west London family home but denies it was murder"
"95","independent","Live Champions League updates as RB Leipzig to play Man City"
"96","mirror","Susanna Reid breaks down in tears as gran of tragic Arthur Labinjo-Hughes describes the last time she saw boy, 6, alive"
"97","telegraph","

New pictures
Inside Jeffrey Epstein's 'house of sin'

"
"98","nytimes","Meet the Sheriff Who Wants to Put Andrew Cuomo Behind Bars"
"99","wsj","Companies Plan Big Raises for Workers in 20224 min read"
"100","usatoday","'Too many of us have sacrificed too much': Bob Dole's final column"
"101","washingtonpost","Kyle Rittenhouse: Going to Kenosha ‘not the best idea’"
"102","latimes","California prepares for winter COVID-19 surge; if not from Omicron, then from Delta"
"103","tampabay","101-year-old returns to Pearl Harbor to remember those lost"
"104","startribune","
                    Minnesota county, city associations agree to opioid settlement that could net state $300M    

                  December 6
            
                "
"105","guardian","Electrician who castrated men at their request jailed"
"106","times","Government ‘deeply sorry’ for Grenfell failures"
"107","dailymail","Wearing a mask is better than social distancing in EVERY scenario: Risk of catching Covid is up to 225 TIMES lower for people donning coverings, study finds"
"108","independent","Epstein photos shown to jury after court hears he wired millions to socialite"
"109","mirror","Driver refuses to help dying man pleading for lift after falling ill on way home"
"110","telegraph","






Live


Latest
Photographs show socialite massaging Jeffrey Epstein's feet on plane

"
"111","nytimes","Can Germany’s New Chancellor Revive the Left in Europe?"
"112","wsj","American Airlines CEO Doug Parker to Step Down5 min read"
"113","usatoday","This Native American is serving 60 to 150 years for drug dealing. Is it unjust?"
"114","washingtonpost","How 13 songwriters reacted to the Beatles documentary"
"115","latimes","Supreme Court poised to further open the door for taxpayer funding of religious schools"
"116","tampabay","Twelve games in, Tom Brady is bereft of a battle scar"
"117","startribune","
                    Chronic auto thief admits speeding through stop sign in stolen car, killing other driver in St. Paul    

                  December 6
            
                "
"118","guardian","Egyptian researcher’s mother ‘jumping for joy’ after court orders release"
"119","times","Is Russia about to invade Ukraine?"
"120","dailymail","Thought you were going to talk tough, Joe? Biden gives Putin a WAVE after forgetting to turn on his mic during video call: Threatens toughest sanctions yet against Russia if it invades Ukraine "
"121","independent","23 secretly brilliant performances in awful movies"
"122","mirror","You have a chance to win £25k every 3 minutes - find out how"
"123","telegraph","

Storm Barra hits
Forty flood alerts as UK battered by 70mph winds

"
"124","nytimes","Truth Is Elusive in Attack on a French Soccer Star"
"125","wsj","Saudi Arabia Pleads for Missile-Defense Resupply as Its Arsenal Runs Low6 min read"
"126","usatoday","Is math racist? How subject’s teaching could drastically change"
"127","washingtonpost","I’ve never known a better editor than Fred Hiatt — or a better person"
"128","latimes","Jennifer Coolidge dreamed of being a dramatic actor. ‘White Lotus’ was her chance"
"129","tampabay","Time has come for Bucs fans to relax and enjoy the ride"
"130","startribune","Minnesota's ICU bed use hits highest level of pandemic"
"131","guardian","Broadcaster threatens to sue Jennifer Arcuri after tweet about Epstein"
"132","times","Social services had a ‘hey ho’ attitude, says Arthur’s grandfather"
"133","dailymail","Amazon is DOWN: Thousands of users worldwide are furious after website crashes, leaving them unable to purchase holiday gifts  "
"134","independent","UAE to move its weekends to Saturday and Sunday from next year"
"135","mirror","UK records 180 new Covid deaths as cases increase by 15% in one week to 45,000"
"136","telegraph","






Live


Politics
Foreign Office's top civil servant stayed on holiday for 11 days after fall of Kabul

"
"137","nytimes","Ahead of Biden’s Democracy Summit, China Says: We’re Also a Democracy"
"138","wsj","Armed With Data, Musicians Have Big Plans to Court Their Superfans6 min read"
"139","usatoday","Company offers Swiss 'painless' death in assisted-suicide pod"
"140","washingtonpost","Cartoon: Our hearts at half-staff"
"141","latimes","A new TV network wants to make Christmas great again. Why its message is a harmful one"
"142","tampabay","Mike Evans again nominated for Walter Payton NFL Man of the Year Award"
"143","startribune","These five painful decisions by Mike Zimmer led to one brutal loss"
"144","guardian","The shocking story of Guantánamo Bay’s ‘forever prisoner’ "
"145","times","Tennant attacks ministers over demand for ‘British TV’"
"146","dailymail","Khashoggi murder suspect is arrested in France: Former member of Saudi Royal Guard is held while waiting to board a flight to Riyadh "
"147","independent","Boy, 14, put in isolation after coming to school with hair in plaits"
"148","mirror","Strictly's Christmas line-up 2021 confirmed as Sheridan Smith pulls out"
"149","telegraph","

What really went on in chaotic Foreign Office as staff selected who to save from Afghanistan

"
"150","nytimes","How many countries will follow the U.S. boycott of the 2022 Olympics in Beijing?"
"151","wsj","Starbucks CEO Asks Workers to Stick With Chain, Not Union4 min read"
"152","usatoday","How is your state affected by rainfall caused by a warming climate?"
"153","washingtonpost","Fred Hiatt was an editor of surpassing integrity, intelligence and compassion "
"154","latimes","‘Liquid gold’: After dry November, rain arrives in Southern California"
"155","tampabay","Mario Cristobal hiring shows Hurricanes are a new Miami"
"156","startribune","Gophers bring back Ciarrocca as offensive coordinator"
"157","guardian","New Caledonia prepares for blighted independence vote"
"158","times","Batten down the hatches again for Storm Barra"
"159","dailymail","'Weather bomb' EXPLODES over Britain: 35ft waves spark flood chaos as 1,000-mile wide Storm Barra pummels UK with 80mph gales, rain and up to EIGHT INCHES on snow... after knocking out power to 60,000 homes in Ireland "
"160","independent","Why Samsung Neo QLED is the smart choice for your next TV upgrade"
"161","mirror","Dad shares ‘ridiculous’ letter daughter received from boss on her first day at work"
"162","telegraph","

Jamal Khashoggi murder suspect arrested in France

"
"163","nytimes","In the Mountain West, the ‘Dirty’ Soda Rush Is On"
"164","wsj","With Just Three Passes in a Win, Bill Belichick Paints a Masterpiece5 min read"
"165","usatoday","Trump chief of staff Meadows won't cooperate with Jan. 6 committee"
"166","washingtonpost","Charles Blow’s memoir is now an operatic masterpiece"
"167","latimes","Want to get high (but not too high) this holiday season? Here are 7 low-dose options"
"168","tampabay","Florida’s two-strikes law condemns too many offenders to life in prison | Editorial"
"169","startribune","Yuen: Back-to-back quarantine? Welcome to the world we live in"
"170","guardian","David Thewlis on new show Landscapers and the misogyny of Naked"
"171","times","Cost of Christmas dinner rises by 3.4% as inflation bites"
"172","dailymail","Mothers-to-be who follow a Mediterranean diet or practice 'mindfulness' are up to 42% less likely to have a baby born too small, study suggests "
"173","independent","Farewell, then, Harriet Harman, feminist and moderniser"
"174","mirror","EuroMillions-winning couple's heartwarming surprise for 104-year-old war veteran"
"175","telegraph","

Emmanuel Macron warns Europe to avoid woke 'nonsense'

"
"176","nytimes","Book deals often follow big social media followings. Book sales? Not so much."
"177","wsj","Michigan Is Playoff Bound and Life Will Never Be the Same"
"178","usatoday","Supreme Court to hear religious schools case that may expand vouchers"
"179","washingtonpost","The media has given Republicans a free pass on assaulting democracy"
"180","latimes","The 40 best California experiences: Winter edition"
"181","tampabay","Immigrants could help with the shortage of construction workers | Letters"
"182","startribune","Minnesota's typewriter fans are still clacking after all these years"
"183","guardian","The shape of Germany’s next coalition"
"184","times","Boss sacks 900 staff in three-minute Zoom call"
"185","dailymail","I'm A Celebrity camp will be hit with MORE extreme weather as Storm Barra is predicted to reach Wales ahead of the final - just days after Storm Arwen forced the show off-air "
"186","independent","What are they smoking? Politicians have always dabbled in drugs"
"187","mirror","Woman who starved dogs in locked shed filled with faeces banned from having pets for life"
"188","telegraph","

Omicron is a horrible dilemma for zero-Covid China

"
"189","nytimes","Can I skip jury duty because of Covid concerns?"
"190","wsj","Work-Life Balance Finally Happened. Then They Were Called Back to the Office."
"191","usatoday","Why the Supreme Court may look to China as it reconsiders Roe v. Wade"
"192","washingtonpost","An angry rift between Trump and Steve Bannon signals the far right’s future"
"193","latimes","Breaking down the USC roster Lincoln Riley inherits"
"194","tampabay","Editorial Cartoons for Tuesday from Times Wire Services"
"195","startribune","Nation's first Shake Shack drive-through restaurant finds success on opening day in Maple Grove"
"196","guardian","With what sanctions could the US hit Russia?"
"197","times","Oxford head ‘made details of student’s assault public’"
"198","dailymail","How WFH paralysed Whitehall: Tories urge Peloton-riding civil servants to get back to offices after MONTHS of delays to passports, driving licences and tax returns as it's revealed they put 'work-life balance' first while emails from Afghans went unread"
"199","independent","Meet the new recruits being helped onto the career ladder
"
"200","mirror","Model whose face was torn apart by leopard shares pics taken moments before it pounced"
"201","telegraph","






Live


Markets
Gas prices jump as US mulls ‘nuclear’ sanctions on Russia - live updates


"
"202","nytimes","Teachers Shouldn’t Have to Be the Last Line of Defense for Students"
"203","wsj","The Secret to These Successful Marriages? Living Apart"
"204","usatoday","Pearl Harbor 80 years later: Attack 'led to a changed world'"
"205","washingtonpost","My red state is already pretending covid is gone. Now here comes omicron."
"206","latimes","Q&A: Gov. Newsom on his children’s book to help those, like himself, with dyslexia"
"207","tampabay","A drug price safety net is fraying for Medicaid and uninsured patients in Florida | Column"
"208","startribune","
                        Pearl Harbor at 80
                    "
"209","guardian","What lockdown taught me, one more time, is that dance is my true passion"
"210","times","‘Loud’ Jewish lecturer was unfairly sacked"
"211","dailymail","Boris and Carrie Johnson accused of intervening personally to get a plane-load of cats and dogs out of the fall of Kabul at the expense of Afghan translators after Pen Farthing charity directly lobbied the PM's wife"
"212","independent","How an old rule can bring a new solution to football’s competition crisis
"
"213","mirror","Killer's chilling two second glance that led to the murder of dad in front of his four-year-old son"
"214","telegraph","

German housing market sets alarm bells ringing in Europe’s biggest economy

"
"215","nytimes","‘All This Just to Have a Child? That’s a Bit Much.’"
"216","wsj","Instagram Unveils New Teen Safety Tools Ahead of Senate Hearing"
"217","usatoday","Don't be cheugy. Here's how to pronounce 2021's most hard-to-say words"
"218","washingtonpost","In Georgia, Republicans’ Faustian bargain with Trump is catching up with them"
"219","latimes","Column: When ‘Vice President Harris’ became inevitable, trouble was sure to follow"
"220","tampabay","Ryan Gorman gets morning show on News Radio WFLA"
"221","startribune","
                        Editorial cartoon: Joel Pett on the good ol' days
                    "
"222","guardian","How the pandemic has transformed our psychic landscape"
"223","times","Overweight detective told to stop drinking Coke wins payout for hurt feelings"
"224","dailymail","DAILY MAIL COMMENT: How Foreign Office failed our Afghan allies "
"225","independent","Better flooded with negative reviews following Zoom mass sacking"
"226","mirror","Prince Harry was mistaken for Christmas tree salesman while shopping with Meghan"
"227","telegraph","






Live


Fresh blow to ski season as France closes nightclubs for a month

"
"228","nytimes","I Couldn’t Vote for Trump, but I’m Grateful for His Supreme Court Picks"
"229","wsj","Elizabeth Holmes’s Testimony: Moments That Might Influence Jurors"
"230","usatoday","Modern-day space race heats up
"
"231","washingtonpost","How is the GOP’s covid recklessness compatible with being pro-life?"
"232","latimes","Editorial: Californians need more transparency over school district salaries"
"233","tampabay","Florida active shooter training injures city worker"
"234","startribune","
                        These five painful decisions by Mike Zimmer led to one brutal loss
                    "
"235","guardian","How the first piece of AI music was born in 1956"
"236","times","Dyslexia screening plan for primary pupils"
"237","dailymail","Boris tells Cabinet Omicron IS 'more transmissible' than Delta and government will act 'swiftly' as data shows cases of the super-mutant variant are doubling every TWO DAYS with strain set to become dominant in weeks "
"238","independent","Sex messages on screen in controversial doctor’s GB News interview"
"239","mirror","Landlord praised for touching gesture to single mum ahead of Christmas"
"240","telegraph","

The true cost of the travel red list – and why it’s pointless anyway

"
"241","nytimes","Join Cassandra Vinograd and Leta Hong Fincher on Twitter to discuss Peng Shuai’s disappearance and the feminist movement in China."
